accountType,accountId,guestId,mLifeId,mgmRewardsTierCurrent,stateCd
patron,61883775,4592019,61883775,Sapphire,null
patron,70232230,4426628,70232230,Sapphire,VA
patron,58010039,63638787,58010039,Sapphire,null
patron,47195893,37679450,47195893,Sapphire,NY
customers,00upyn9fmgRCSbhYL1t7,147400523,99530101,Sapphire,OH
patron,60039048,119860531,60039048,Sapphire,null
betmgm,597393879,10225241,83045575,Pearl,NJ
opera,722336744,108061085,19635314,Sapphire,FL
archtics,17496554,97337860,69774764,Sapphire,IN
patron,3987199,115065440,3987199,Sapphire,MI
patron,57530588,36298335,57530588,Sapphire,null
patron,64304343,122237947,64304343,Sapphire,null
opera,895826440,145629755,96378527,Pearl,AZ
patron,56068282,110658423,56068282,Sapphire,null
patron,60275000,41160855,60275000,Sapphire,MN
patron,61740672,57088572,61740672,Sapphire,AL
patron,82126213,16291119,82126213,Sapphire,CA
patron,63517229,38063259,63517229,Sapphire,IL
patron,60267612,36479444,60267612,Sapphire,KS
patron,79549020,60484045,79549020,Sapphire,OH
patron,83938184,49423495,83938184,Pearl,NY
opera,573810304,63173567,61353556,Sapphire,AZ
patron,71486658,61546197,71486658,Sapphire,null
patron,60803614,98625714,60803614,Sapphire,FL
patron,70122163,65486829,70122163,Sapphire,null
patron,95828297,143992208,95828297,Sapphire,PA
patron,67867786,120035072,67867786,Sapphire,MI
patron,60340798,49787444,60340798,Sapphire,GA
patron,43509780,133110130,43509780,Sapphire,CO
patron,75809241,69326152,75809241,Sapphire,VA
patron,55318316,41088981,55318316,Sapphire,null
opera,809037838,108409040,69778147,Sapphire,WA
patron,80234012,128253042,80234012,Sapphire,TX
patron,57537449,90753044,57537449,Sapphire,null
patron,71535663,32125301,71535663,Sapphire,VA
patron,59296822,18924059,59296822,Sapphire,LA
patron,94099637,136882100,94099637,Sapphire,CO
opera,900964387,127324247,94557247,Sapphire,CA
archtics,16923441,98551250,71847903,Sapphire,PA
opera,550499866,7151446,61466770,Sapphire,IL
patron,53947121,108074078,53947121,Sapphire,null
patron,12569152,24682619,83013498,Sapphire,VA
patron,58875676,110040497,58875676,Sapphire,null
archtics,17612449,68997462,59307024,Sapphire,NV
patron,47812637,59581701,47812637,Sapphire,FL
patron,63799367,122228727,63799367,Sapphire,TX
archtics,16086801,98262456,70737716,Sapphire,CA
patron,94614752,138712308,94614752,Sapphire,IL
patron,75602965,2387552,75602965,Sapphire,CA
customers,00u7oktgteSxElf5h1t7,33528362,76333800,Sapphire,TX
patron,55503040,3546781,55503040,Sapphire,PA
sevenrooms,ahNzfnNldmVucm9vbXMtc2VjdXJlciQLEhpuaWdodGxvb3BfVmVudWVHcm91cENsaWVudBjdnYaQBAw,101838435,75751488,Sapphire,CA
opera,803106851,43591048,63024546,Sapphire,CA
opera,807982194,24403759,77517934,Sapphire,MI
patron,69179822,50093753,69179822,Sapphire,TX
betmgm,556935552,136692573,94083130,Sapphire,WV
patron,60782996,82463290,60782996,Sapphire,null
patron,74524520,123946726,78085441,Sapphire,GA
patron,73031064,123120076,73031064,Sapphire,null
patron,43339063,29889061,43339063,Sapphire,AL
patron,57676663,88419742,57676663,Sapphire,null
archtics,13159746,83197854,85068134,Sapphire,NY
patron,59129989,58542124,59129989,Sapphire,null
patron,57331587,89544868,57331587,Sapphire,null
patron,72493045,2802720,72493045,Sapphire,null
archtics,11431545,62290372,70888809,Sapphire,MD
patron,66856999,76097164,66856999,Sapphire,CA
opera,1354354,13317323,62581398,Sapphire,DE
patron,48154817,25683572,48154817,Sapphire,OH
patron,48401742,119127108,85385177,Pearl,MA
patron,73431484,94113107,73431484,Sapphire,FL
patron,96876569,147629260,96876569,Sapphire,TX
patron,75374986,103631561,75374986,Sapphire,TN
patron,72533517,55290630,72533517,Sapphire,NC
patron,8756517,76261229,8756517,Sapphire,MS
patron,69265611,77270398,69265611,Pearl,AR
patron,93261497,135738871,93261497,Sapphire,null
patron,83243173,37082824,83243173,Sapphire,GA
patron,41863411,71579801,20385120,Sapphire,CA
patron,63848049,59166690,63848049,Sapphire,null
patron,77485634,94359729,77485634,Sapphire,NM
patron,60071337,102500389,60071337,Sapphire,GA
patron,56548513,15871776,56548513,Sapphire,null
opera,781843289,49665290,48545085,Sapphire,TX
patron,61676123,30061797,61676123,Sapphire,CA
betmgm,581357087,149869615,97654622,Sapphire,PA
patron,72294455,21839464,72294455,Sapphire,ON
customers,00ua9bfinaxt0AWXx1t7,42649684,78231959,Sapphire,LA
patron,50638285,124152572,50638285,Sapphire,FL
patron,35202425,32920627,43208856,Sapphire,HI
opera,889833286,31415570,76117967,Sapphire,CA
patron,78987431,158668674,78987431,Sapphire,TN
patron,57099340,55740124,57099340,Sapphire,null
patron,55824788,66952148,55824788,Sapphire,null
patron,73361772,51863329,73361772,Sapphire,CA
patron,51972649,42494473,51972649,Sapphire,DE
sevenrooms,ahNzfnNldmVucm9vbXMtc2VjdXJlcicLEhpuaWdodGxvb3BfVmVudWVHcm91cENsaWVudBiAgLzik4LMCAw,153038244,98306168,Sapphire,IA
patron,62820947,116058973,62820947,Sapphire,CO
patron,98656733,141160400,98656733,Sapphire,NV
patron,76709584,97021835,76709584,Sapphire,MA
opera,439851202,81780976,60075251,Sapphire,MO
opera,894402550,4424129,82244621,Gold,VA
opera,113809777,39907084,52884142,Sapphire,CA
patron,80048074,130073407,80048074,Sapphire,FL
patron,63612122,122111428,63612122,Sapphire,TX
patron,49972216,65882656,49972216,Sapphire,MI
patron,57412182,75847623,57412182,Sapphire,CA
patron,57356915,62419611,57356915,Sapphire,null
sevenrooms,ahNzfnNldmVucm9vbXMtc2VjdXJlcicLEhpuaWdodGxvb3BfVmVudWVHcm91cENsaWVudBiAgNyohcaeCww,2304099,83774794,Sapphire,NJ
patron,67952715,73571696,67952715,Sapphire,null
opera,814146622,41466872,79568789,Sapphire,SK
sevenrooms,ahNzfnNldmVucm9vbXMtc2VjdXJlcicLEhpuaWdodGxvb3BfVmVudWVHcm91cENsaWVudBiAgMT1rP3UCQw,89019921,60753326,Sapphire,CA
betmgm,556896348,137172223,94160566,Sapphire,MI
patron,63571478,79228535,63571478,Sapphire,NY
customers,00u1h2qcitUY43TOX1t7,52484935,72275148,Sapphire,null
patron,68094353,39014783,68094353,Sapphire,BC
opera,902410503,165716161,99773494,Sapphire,OR
patron,77041802,49784772,77041802,Sapphire,MD
patron,75602471,33544703,75602471,Sapphire,AK
patron,72743221,113034499,72743221,Sapphire,GA
patron,52564402,86191706,52564402,Sapphire,null
patron,81555161,72436749,81555161,Sapphire,null
patron,68930062,80091425,68930062,Sapphire,null
betmgm,577972502,186008438,80614726,Sapphire,DC
patron,53425677,100328087,53425677,Sapphire,null
betmgm,551753168,133630301,95109978,Sapphire,NJ
patron,77255808,1687885,77255808,Sapphire,null
