guestId,expects,mLifeId,mgmRewardsTierCurrent,numberOfAccounts,stateCd,marketableNameFlag,marketableAddressFlag,isValidEmail,isValidMail,goo,betMGMEnrollment
43582291,1,90383652,Sapphire,3,NY,true,true,true,true,false,false
124879337,1,47504035,null,4,WA,true,true,false,true,false,false
164116023,1,92700274,Sapphire,9,CA,true,true,true,true,false,false
164121320,1,57165002,Sapphire,16,CA,true,true,true,true,false,false
41902714,1,77137063,Sapphire,3,FL,true,true,false,true,false,false
39995072,1,56989906,Sapphire,3,null,true,false,false,false,false,false
40006483,1,49686619,Sapphire,6,WA,true,true,true,true,false,false
41939195,1,20232990,null,3,MI,true,true,false,true,false,false
41947244,1,54828389,Sapphire,3,null,true,false,false,false,false,false
169946339,1,1399109,Sapphire,4,IL,true,true,true,true,false,false
164144326,1,58519000,Sapphire,8,WA,true,true,true,true,false,false
40325190,1,50259734,Sapphire,3,TN,true,true,false,true,false,false
164409895,1,77020299,Sapphire,8,NV,true,true,true,true,false,false
164556538,1,99509536,Sapphire,3,NY,true,true,false,true,false,false
164810024,1,7508799,Sapphire,19,CA,true,true,true,true,false,false
155023244,1,98819528,Sapphire,4,PA,true,true,true,true,false,true
146967782,1,96633291,Sapphire,3,MI,true,true,false,true,false,false
151788301,1,97975099,Sapphire,3,CA,true,true,false,true,false,false
40479905,1,20159045,null,4,MI,true,true,true,true,false,false
43729358,1,74476408,Sapphire,3,null,true,false,false,false,false,false
147104645,1,96675199,Sapphire,3,NE,true,false,false,false,false,false
155038832,1,98813560,Sapphire,5,TX,true,true,true,true,false,false
165041265,1,99535297,Sapphire,3,CT,true,true,true,true,false,false
167380691,1,100398974,Sapphire,8,GA,true,true,true,true,false,false
40102193,1,59729794,Sapphire,3,TN,true,true,false,true,false,false
40128889,1,56322741,Sapphire,3,null,true,false,false,false,false,false
40146931,1,33419726,Sapphire,15,AZ,true,true,true,true,false,false
43730569,1,54991131,Sapphire,3,null,true,false,false,false,false,false
43776167,1,4599306,null,3,HI,true,true,false,true,false,false
37551392,1,45517832,null,13,IL,true,true,true,true,false,false
40206947,1,57071154,Sapphire,3,null,true,false,false,false,false,false
