accountType,accountId,guestId,amperityId,mLifeId,mgmRewardsTierCurrent,expects,numberOfAccounts
customers,00uemwkx50Y8Lobzm1t7,132254820,1e33a49d-8eae-37cb-bdc0-88b83b82d679,80460882,Sapphire,1,2
patron,84725676,60649342,16e02f4d-f3ac-3ccf-a3eb-c963a7449c5b,84725676,Sapphire,1,2
patron,61967785,27440927,18ed219a-8b66-3e5b-a1fb-15eec93ad8c2,61967785,Sapphire,1,2
patron,45166707,43308227,1e91b2e4-7016-3608-b5d9-2b500adaf4ff,45166707,null,1,2
sevenrooms,ahNzfnNldmVucm9vbXMtc2VjdXJlciQLEhpuaWdodGxvb3BfVmVudWVHcm91cENsaWVudBiFn5_tHww,62171753,1c393a0e-bc64-3b2c-8617-1c5ddb4cf3d7,66504385,Platinum,1,10
patron,30573339,88746880,1e96321f-5040-3495-bd11-a098688a754e,30573339,null,1,1
patron,49872272,64540953,1c39dbd0-99a6-3a46-a7fd-74754388ece1,49872272,Sapphire,1,4
patron,60948834,169089720,1ae499d0-de9f-36bc-8b26-e8b9d2d6b7fd,60948834,Sapphire,1,2
patron,42550380,82344857,1c42482d-992b-36f3-9fab-2309aa2e548d,42550380,null,1,2
patron,44825984,120294132,1c449372-6f72-3b64-a2fc-35b46c449d6d,44825984,null,1,1
tcolv_lms,411773434846,11208960,18f02cbc-6eb2-3de9-9216-439eb675d2af,53410053,Sapphire,1,8
patron,58315410,114208107,1c4547d9-2605-3e6e-b670-b735b5302225,58315410,Sapphire,1,1
patron,50565544,110258327,1e98c980-75c1-3c57-8c9a-c48630b27e60,50565544,Sapphire,1,1
patron,80151635,130518276,1e9bfb42-cd85-349a-91eb-133b233349cf,80151635,Sapphire,1,4
patron,77336969,6605336,18f662db-c4d5-3a18-825b-db1f4ad9ac98,77336969,Sapphire,1,1
patron,62565335,39932459,16f035fb-06e9-35b9-a591-4a26f61cf338,62565335,Sapphire,1,5
patron,93641802,136350584,1de6676f-8745-3431-8f9e-e79fab230967,93641802,Sapphire,1,1
patron,93657818,136339660,1deaae14-3f88-32af-aaaf-d772ea19537c,93657818,Sapphire,1,1
customers,00uazojso6YNO32QU1t7,107725346,1c524fbf-547e-3f0d-91fd-ce5ca3f245da,78715057,Sapphire,1,6
opera,783791243,36915900,1c5ac890-fd50-39f9-b91a-76d0e16262af,54168958,Sapphire,1,5
patron,47367171,42772746,1c5e989e-2940-3ce8-9d66-f3486ec8eddb,47367171,Sapphire,1,1
patron,97868473,151435487,107f0adb-f483-3b63-b33c-8ed13c5df4b6,97868473,Sapphire,1,2
betmgm,597923433,158201344,1f7c7415-a5c4-3938-a147-e01fb6bb60eb,99414419,Sapphire,1,2
patron,60633991,90965327,1c5f5360-a32f-3054-a571-44490e28afd8,60633991,Sapphire,1,1
