guestId,amperityId,expects,mLifeId,mgmRewardsTierCurrent,numberOfAccounts
10372643,d8f95479-2593-3fad-baf5-d534d31c6dd9,1,89488579,Pearl,5
3485483,e6969364-2610-3b60-b981-6c8f20a4c919,1,64754986,Sapphire,7
12544131,472a1cf9-c42a-3107-8974-4dbe3edb5ee9,1,48018971,null,4
10438517,a1649280-5008-394c-a11c-d0ac8ea3a759,1,43044087,null,6
106615149,e2a72cf9-86ef-3c69-859d-2d9d952f6614,1,72387877,Sapphire,1
10473831,ce388c97-2942-3f98-934a-38acdf318b8a,1,1221993,null,3
10486746,b6ba72b0-f1d1-302f-81fd-7848aa326692,1,57691000,Sapphire,1
121801622,875f7d5b-ea36-3af2-9255-4af4f5497cf5,1,48831358,Sapphire,4
133528907,8858c629-19b5-3135-b07b-389d49bc4787,1,80714886,Sapphire,1
120941645,175419cd-7dc7-3945-b487-b4aa7db26567,1,89265700,Sapphire,2
133567585,6e9811c6-a036-3b2c-9af4-deed03729db8,1,80708943,Sapphire,3
12648092,6d96d9af-43a8-3de0-a67d-c0bd797fa868,1,78255667,Pearl,6
9548280,063111de-09d5-3296-8b49-80583c36681f,1,65926523,Sapphire,1
125630376,85622a67-fa55-363c-bee0-77b60c4167f7,1,33213371,null,1
120941911,145bcce2-0a22-34be-b0a3-9395af025238,1,62558793,Sapphire,3
11515059,29fea7e7-6eea-3a08-8ad8-bbe94901d6a9,1,12289279,null,2
133596271,164f02c0-cc78-3e57-9d33-014b1097f0f4,1,80718539,Sapphire,4
2291543,50a2035f-4a97-3bd7-b4c2-a5051bac3bee,1,74330558,Sapphire,3
120968145,75d9ddf2-0fe3-3b08-aa82-9b1b5f13f9e1,1,72816697,Sapphire,1
10552243,3dd74933-e35c-3229-b655-4ed9197de0a8,1,47529577,Sapphire,2
10561827,1c1e441b-067e-3f4c-9f9b-4849d06b706d,1,53081446,Sapphire,3
122260373,9af33c2f-0428-3347-a5d2-d28583477d65,1,55440977,Sapphire,1
12124775,78c0b9a3-a1da-3043-8d50-92930b20e55a,1,56634826,Sapphire,1
122592881,7ba52c03-fe8c-3e60-a05f-29add4362d70,1,60328074,Sapphire,4
122315913,1baaa2d4-26e8-3a40-b0de-cb559ccbfe86,1,69051543,Sapphire,5
122625323,b0851b02-a657-3be7-bb02-62d1aa1ee605,1,84645373,Sapphire,1
122633463,d122f395-00e4-3dfa-abae-ff2f81348557,1,50472413,Sapphire,1
122639722,d54b14a9-f8e8-3b96-acc6-8452384721a3,1,48154337,Sapphire,1
121823320,d38dd323-5575-3717-a7b9-d96a39454a9c,1,57457996,Sapphire,1
120976659,c501dbc6-3812-32fd-8adf-ee5c13e00a06,1,61486713,Sapphire,1
120996337,d1f5e559-4ff2-3b2b-8147-26edd819fb8b,1,81157687,Sapphire,1
10576160,1c4cc7af-7bf3-36d4-83ce-024e03e62326,1,51852894,Sapphire,3
11708973,c33d9f55-3f6e-35f3-89ad-a29c7a6cda43,1,48923256,Sapphire,2
124032204,2af968b0-9ad1-3449-b090-f0b28500fe88,1,52143023,Sapphire,1
12683375,38554611-05a3-3cbe-a7a5-622d89c762ba,1,53914011,Sapphire,1
10689451,900ebad3-0ea9-3f0e-bf72-298eadbc74ee,1,53824580,Sapphire,1
10527717,928c0b4f-be79-3e62-9db7-0d021e06aa14,1,77745117,Sapphire,4
11779182,1bb005d8-3bab-343d-b7e6-0188dda6b088,1,77950501,Sapphire,3
124109988,36859efb-bca1-360c-93c3-44f09b134c29,1,48536368,null,1
125812924,c629cda3-0b81-38fa-b96c-50e265b2ea30,1,51525813,Sapphire,1
124142820,8319dd4e-65f3-3e9c-b0d6-30aa27e70829,1,46979970,Sapphire,5
3162340,f23ba22e-263b-399b-b918-7fa0699adaec,1,69038000,Sapphire,2
122656743,295b5e07-1f89-392b-a576-aded647fa257,1,2341396,null,2
12287842,b05c5175-a990-33ac-b750-242bcf4debb9,1,61209516,Sapphire,1
124153756,a6163017-9881-31b5-9cf0-6e18b3a88ab7,1,54472878,Sapphire,1
12774772,90cbb6ac-b26b-353e-9008-82463c456704,1,60480974,Sapphire,6
121051734,e0d4d8b6-d56b-3b63-abf7-2536fa6c118c,1,48515568,Sapphire,2
12838078,31bdbdfa-474d-3b48-98b0-d066ee3d6cfd,1,83257595,Sapphire,5
3108317,6b1fcb27-ef7d-3f2c-93f4-1579162ae2c0,1,2763268,null,1
121829412,7de79dbe-279f-323a-8f82-7a2525143d88,1,82255452,Sapphire,2
