guestId,piiEntity,piiStatus,marketabilityEntity,marketabilityStatus
1000146,address,Active,,
1000146,phone,Active,,
108849899,address,Active,isValidEmail,Active
108849899,birthdate,Active,isValidEmail,Active
108849899,email,Active,isValidEmail,Active
108849899,name,Active,isValidEmail,Active
116419661,birthdate,Active,marketableAddressFlag,Active
116419661,name,Active,marketableAddressFlag,Active
116419661,address,Active,marketableAddressFlag,Active
118216447,name,Active,,
118216447,address,Active,,
131683646,name,Active,,
13707544,name,Active,,
13707544,address,Active,,
13707544,birthdate,Active,,
13707544,email,Active,,
138770100,address,Active,,
1396083,birthdate,Active,,
15275484,name,Active,,
15275484,address,Active,,
15275484,name,Active,,
19585128,name,Active,,
19585128,email,Active,,
208435492,name,Active,,
23186414,name,Active,marketableNameFlag,Active
23186414,address,Active,marketableNameFlag,Active
23186414,phone,Active,marketableNameFlag,Active
23186414,email,Active,marketableNameFlag,Active
33396380,name,Active,,
33396380,address,Active,,
33396380,phone,Active,,
55847268,email,Active,isTestAccount,Active
55847268,phone,Active,isTestAccount,Active
55847268,name,Active,isTestAccount,Active
55847268,birthdate,Active,isTestAccount,Active
63915980,name,Active,,
63915980,address,Active,,
63915980,email,Active,,
66829240,name,Active,,
66829240,address,Active,,
66829240,email,Active,,
67288340,name,Active,,
74866198,address,Active,,
8827448,address,Active,,
